Crop_Category,Crop_Variety,Seed_Type,Temperature_Avg_C,Temperature_Min_C,Temperature_Max_C,Rainfall_mm,Humidity_Percent,Sunshine_Hours,Growing_Season_Days,Soil_pH,Nitrogen_kg_per_ha,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Organic_Matter_Percent,Soil_Type,Soil_Moisture_Percent,Irrigation_Type,Season,Previous_Crop,Farm_Size_ha,Fertilizer_Nitrogen_kg_per_ha,Fertilizer_Phosphorus_kg_per_ha,Fertilizer_Potassium_kg_per_ha,Pesticide_Usage,Yield_tons_per_ha
Wheat,Wheat (Durum),Hybrid,18.53,13.21,30.35,645.87,58.52,9.37,121,6.18,85.93,46.27,35.96,2.95,Desert,68.09,Rainfed,Kharif,Millet,10.31,99.26,47.8,40.49,1,3.319
Maize,Maize (Sweet Corn),Traditional,27.36,20.81,38.2,634.06,66.9,6.85,81,6.79,111.15,67.14,48.54,3.82,Loamy,50.12,Drip,Kharif,Sugarcane,17.45,93.8,46.57,36.06,1,7.386
Millet,Millet (Foxtail),Traditional,26.64,20.77,33.98,450.64,62.03,7.91,83,6.19,30.38,24.44,18.36,1.38,Sandy,36.22,Rainfed,Zaid,Pulses,17.71,31.83,19.52,12.77,0,0.866
Millet,Millet (Sorghum/Jowar),Hybrid,28.92,21.98,36.38,646.23,51.91,9.5,126,7.05,61.75,30.37,33.96,3.31,Sandy,55.06,Sprinkler,Rabi,Millet,18.65,67.56,38.19,28.04,1,2.22
Rice,Rice (Sona Masuri),HYV,26.67,20.31,36.15,1102.36,80.85,6.81,131,6.02,85.0,44.05,37.12,4.09,Loamy,63.28,Flood,Kharif,Millet,18.14,71.78,30.65,32.55,1,3.961
Millet,Millet (Foxtail),Hybrid,26.06,20.42,35.81,387.28,61.73,9.02,73,6.08,33.87,24.29,16.23,1.33,Loamy,39.13,Sprinkler,Kharif,Sugarcane,1.68,39.32,19.3,20.09,1,2.531
Millet,Millet (Sorghum/Jowar),Traditional,30.14,25.08,42.01,688.74,67.79,7.94,128,7.94,63.92,30.4,28.96,2.58,Red,46.08,Rainfed,Rabi,Pulses,13.94,61.77,28.01,27.65,1,2.352
Rice,Rice (Non-Basmati),Traditional,29.67,23.54,36.68,1323.3,75.53,6.31,116,7.26,81.57,59.76,53.29,4.04,Clayey,65.95,Sprinkler,Kharif,Cotton,11.22,86.85,43.25,41.82,1,5.927
Millet,Millet (Finger/Ragi),HYV,25.29,20.26,33.91,430.46,66.4,8.15,112,5.57,49.23,23.97,23.59,2.3,Loamy,55.75,Rainfed,Rabi,Maize,8.38,41.99,28.25,17.83,1,2.11
Maize,Maize (Feed Corn),Hybrid,26.9,21.17,38.51,629.7,73.3,8.3,116,7.44,121.59,65.66,52.94,3.45,Loamy,69.0,Flood,Rabi,Fallow,11.82,164.92,93.73,76.44,0,9.368
Maize,Maize (Popcorn),HYV,26.42,20.54,34.94,730.28,60.84,6.41,99,6.84,99.82,49.43,48.62,4.26,Loamy,56.2,Rainfed,Kharif,Maize,8.77,81.24,44.62,37.23,1,5.976
Soybean,Soybean (Oil Grade),Traditional,26.9,20.45,38.74,672.13,68.08,8.7,117,6.37,28.85,64.64,41.09,3.06,Red,67.0,Drip,Kharif,Millet,15.05,18.55,44.64,28.34,1,3.474
Rice,Rice (Sona Masuri),Traditional,29.47,24.46,39.21,1160.43,74.55,7.55,136,5.76,73.63,36.1,44.43,3.68,Alluvial,79.75,Rainfed,Zaid,Wheat,12.47,64.75,34.39,34.01,1,3.509
Maize,Maize (Sweet Corn),HYV,22.94,15.26,29.98,771.09,60.44,8.34,97,6.54,112.83,51.01,44.22,4.7,Alluvial,70.59,Drip,Rabi,Soybean,1.84,114.22,67.89,59.86,1,7.139
Millet,Millet (Foxtail),Traditional,28.13,21.6,39.12,328.94,57.82,8.47,75,6.57,34.2,22.57,15.52,1.52,Sandy,49.07,Rainfed,Rabi,Maize,16.92,30.9,12.41,14.55,1,1.165
Maize,Maize (Feed Corn),HYV,24.7,17.08,35.13,661.56,61.76,7.16,100,5.97,121.4,74.07,66.02,2.78,Desert,74.77,Flood,Kharif,Rice,6.72,120.87,77.9,69.45,1,5.847
Wheat,Wheat (Durum),HYV,22.69,16.24,31.86,563.18,68.62,7.93,120,6.74,81.24,50.44,35.62,3.24,Black,69.89,Flood,Rabi,Millet,7.3,99.01,59.6,39.73,1,3.627
Wheat,Wheat (Sharbati),HYV,21.98,14.05,31.94,441.81,53.58,8.56,119,7.16,98.57,42.95,38.17,2.48,Black,50.85,Drip,Rabi,Maize,4.99,84.44,43.04,37.08,0,3.092
Millet,Millet (Finger/Ragi),Traditional,25.26,18.07,32.65,615.71,66.69,7.67,122,5.43,46.08,20.1,15.92,3.18,Sandy,49.52,Rainfed,Kharif,Soybean,10.49,34.87,20.19,17.36,1,1.704
Maize,Maize (Feed Corn),Hybrid,27.34,19.41,39.07,787.6,61.35,6.71,109,6.76,141.72,68.89,64.72,3.4,Red,68.32,Sprinkler,Zaid,Millet,5.87,133.11,71.31,68.84,1,9.228
Soybean,Soybean (Food Grade),HYV,28.21,21.91,36.18,720.59,77.22,6.69,104,6.93,29.71,46.92,31.23,2.84,Black,60.7,Rainfed,Kharif,Pulses,7.62,28.69,52.85,34.73,1,1.537
Millet,Millet (Pearl/Bajra),Hybrid,31.96,25.32,43.72,492.44,41.94,10.82,72,7.26,42.11,21.38,25.95,1.5,Red,50.82,Rainfed,Kharif,Soybean,17.4,49.7,26.34,26.21,0,1.212
Millet,Millet (Sorghum/Jowar),Traditional,27.46,22.45,38.37,482.53,63.9,7.12,125,7.43,74.17,38.51,33.63,1.9,Red,54.47,Flood,Rabi,Maize,12.97,72.5,31.26,35.01,0,1.904
Wheat,Wheat (Durum),Hybrid,18.99,12.26,27.42,523.62,68.63,9.54,135,6.26,89.34,53.56,31.76,3.83,Alluvial,46.93,Rainfed,Rabi,Soybean,16.68,104.72,51.05,38.14,0,5.9
Millet,Millet (Foxtail),Traditional,29.79,22.42,39.28,309.04,51.33,8.83,82,6.52,34.85,21.25,18.51,2.3,Red,57.09,Sprinkler,Rabi,Cotton,14.48,30.9,15.3,13.74,0,1.525
Millet,Millet (Pearl/Bajra),Hybrid,31.44,24.23,42.4,337.79,57.13,10.81,90,6.72,48.78,24.99,24.16,1.14,Loamy,49.69,Sprinkler,Kharif,Rice,4.45,49.92,24.77,23.38,1,2.255
Wheat,Wheat (Sharbati),HYV,20.51,13.76,28.26,442.59,53.46,9.2,120,6.92,80.94,45.94,37.75,3.2,Alluvial,60.66,Flood,Rabi,Rice,16.5,76.06,35.84,29.51,1,4.369
Soybean,Soybean (Food Grade),HYV,27.57,22.07,37.68,794.95,63.46,8.77,98,7.09,26.33,53.35,35.95,2.74,Red,50.69,Rainfed,Kharif,Sugarcane,9.47,27.1,58.87,43.23,1,1.467
Soybean,Soybean (Food Grade),HYV,25.57,19.43,32.88,729.34,66.08,7.91,109,7.04,27.68,57.44,30.27,3.48,Red,66.92,Rainfed,Kharif,Pulses,10.86,20.6,37.64,32.0,1,3.242
Maize,Maize (Feed Corn),Hybrid,25.75,19.41,36.29,631.88,76.72,8.82,111,6.85,141.84,72.62,56.75,3.32,Loamy,72.74,Sprinkler,Kharif,Rice,8.55,133.18,74.03,56.63,0,11.7
Millet,Millet (Sorghum/Jowar),HYV,30.25,23.28,41.45,480.02,69.87,8.1,127,6.94,63.31,40.0,33.26,1.77,Loamy,55.91,Drip,Rabi,Cotton,8.05,67.06,30.45,27.74,1,3.397
Millet,Millet (Foxtail),HYV,26.76,21.39,36.33,360.26,49.83,9.88,77,7.46,35.6,21.54,18.53,1.17,Sandy,51.36,Sprinkler,Kharif,Sugarcane,13.46,33.53,20.18,15.89,1,1.076
Maize,Maize (Popcorn),HYV,26.19,20.22,33.39,714.5,66.13,6.24,100,6.95,81.8,51.74,46.36,4.5,Alluvial,66.65,Drip,Rabi,Maize,17.58,88.86,55.67,48.33,0,5.591
Rice,Rice (Basmati),Traditional,25.75,19.23,36.23,1429.18,74.89,6.66,132,7.21,66.97,30.96,39.41,3.19,Red,72.94,Flood,Kharif,Maize,4.96,64.71,30.0,36.77,1,3.804
Maize,Maize (Sweet Corn),Traditional,24.83,19.69,32.66,530.57,72.67,8.89,92,5.89,111.04,60.08,53.01,4.21,Black,69.93,Drip,Rabi,Pulses,10.89,82.72,44.06,46.49,1,5.488
Rice,Rice (Non-Basmati),Traditional,27.89,21.93,38.39,1156.87,86.58,8.28,127,6.04,95.24,47.09,41.21,3.4,Alluvial,89.87,Sprinkler,Kharif,Pulses,1.64,62.0,31.74,34.64,1,5.806
Wheat,Wheat (Common),HYV,20.51,13.33,31.14,524.14,65.26,7.43,121,7.42,88.54,43.25,36.41,3.21,Alluvial,69.51,Flood,Rabi,Rice,12.4,108.52,53.82,40.97,1,4.097
Millet,Millet (Pearl/Bajra),Traditional,30.93,24.39,38.65,264.17,41.26,10.92,65,7.54,56.53,25.58,20.41,2.18,Sandy,39.98,Drip,Kharif,Fallow,16.12,47.21,23.98,23.46,1,1.354
Soybean,Soybean (Food Grade),HYV,27.65,21.19,35.67,678.19,78.05,6.02,101,6.18,26.04,49.91,33.89,3.06,Loamy,56.51,Sprinkler,Kharif,Soybean,12.74,32.24,53.65,47.47,0,2.536
Soybean,Soybean (Oil Grade),Hybrid,25.87,18.76,34.85,854.61,70.83,8.3,101,6.98,27.96,52.73,42.33,3.94,Black,79.12,Sprinkler,Kharif,Pulses,18.16,30.85,64.87,48.69,1,5.2
Millet,Millet (Foxtail),HYV,27.4,22.08,35.11,548.5,59.44,7.64,85,6.99,31.55,21.43,17.39,1.5,Red,48.19,Rainfed,Rabi,Pulses,5.99,33.54,22.06,18.47,1,0.926
Maize,Maize (Sweet Corn),HYV,26.76,21.0,35.03,584.34,71.2,8.77,87,6.09,109.89,68.11,45.38,3.97,Black,70.64,Sprinkler,Kharif,Millet,4.81,103.38,58.15,52.66,1,7.653
Millet,Millet (Foxtail),Hybrid,30.7,24.57,42.26,469.98,48.28,9.08,69,6.67,35.11,19.88,15.96,2.69,Red,36.43,Rainfed,Kharif,Soybean,0.86,37.99,17.3,20.78,1,2.195
Soybean,Soybean (Food Grade),Traditional,26.4,20.47,37.89,898.41,73.14,6.89,108,7.24,29.19,46.68,32.25,3.03,Black,74.12,Rainfed,Kharif,Millet,1.44,14.58,36.81,21.02,1,2.935
Rice,Rice (Sona Masuri),Traditional,27.06,20.86,34.71,1030.3,79.07,6.57,131,6.71,72.4,39.61,36.22,3.1,Red,61.18,Flood,Kharif,Fallow,8.39,61.32,29.18,34.99,1,4.221
Millet,Millet (Pearl/Bajra),Hybrid,31.06,23.9,41.87,572.62,53.95,10.99,85,6.77,49.88,24.75,29.18,2.01,Loamy,51.13,Rainfed,Kharif,Wheat,6.7,53.08,24.86,26.64,1,1.818
Wheat,Wheat (Sharbati),HYV,21.84,14.05,31.95,546.92,58.91,8.52,122,6.53,95.16,48.84,35.99,2.85,Alluvial,40.97,Sprinkler,Rabi,Fallow,18.47,86.64,40.1,37.57,0,4.84
Wheat,Wheat (Durum),HYV,18.16,12.81,26.73,514.63,68.01,9.05,122,7.42,88.53,47.0,34.48,3.53,Alluvial,67.94,Sprinkler,Rabi,Fallow,9.21,98.56,49.83,38.33,1,4.684
Millet,Millet (Foxtail),HYV,29.0,23.86,40.23,369.84,50.8,8.29,70,5.88,35.44,20.99,19.75,2.35,Clayey,56.67,Rainfed,Kharif,Fallow,17.02,39.94,24.19,17.12,1,1.258
Wheat,Wheat (Common),HYV,18.62,11.78,28.33,441.71,62.51,7.33,124,7.08,90.98,47.46,32.73,1.62,Loamy,41.68,Flood,Rabi,Pulses,5.99,87.12,40.78,33.54,1,6.294
Maize,Maize (Popcorn),Hybrid,26.04,19.64,34.26,682.89,59.42,6.51,91,6.66,96.18,42.29,48.42,4.37,Alluvial,51.8,Sprinkler,Kharif,Pulses,5.22,99.33,55.3,44.4,1,5.353
Wheat,Wheat (Sharbati),Traditional,21.49,14.74,32.93,586.1,58.33,9.06,130,6.39,99.35,47.95,36.77,3.71,Alluvial,40.35,Sprinkler,Rabi,Cotton,13.44,54.68,25.26,21.42,1,4.248
Soybean,Soybean (Food Grade),Traditional,27.02,19.25,37.97,882.71,65.15,7.98,91,6.16,24.97,57.47,33.32,2.33,Loamy,65.07,Sprinkler,Kharif,Wheat,18.67,12.41,27.07,20.64,1,2.95
Millet,Millet (Finger/Ragi),HYV,31.13,23.73,39.58,611.57,54.82,9.01,123,6.87,49.86,20.62,19.07,2.19,Black,48.87,Rainfed,Kharif,Wheat,4.31,42.37,22.7,22.57,1,2.752
Maize,Maize (Sweet Corn),HYV,25.73,19.05,34.87,524.93,71.06,7.02,93,5.94,101.57,59.51,56.74,2.39,Black,62.87,Drip,Rabi,Cotton,17.47,115.03,68.29,58.26,1,7.455
Maize,Maize (Sweet Corn),Hybrid,23.0,17.38,32.89,540.49,73.81,6.7,80,6.72,118.76,52.02,44.79,3.06,Loamy,63.52,Sprinkler,Kharif,Fallow,2.73,131.81,64.41,52.4,0,6.138
Maize,Maize (Sweet Corn),HYV,25.22,20.0,35.77,752.4,63.73,8.09,96,6.39,109.98,57.1,44.21,2.64,Alluvial,59.67,Sprinkler,Kharif,Soybean,17.79,101.08,67.78,47.98,0,5.2
Rice,Rice (Sona Masuri),Hybrid,27.32,21.95,35.16,1133.65,76.21,8.71,129,6.12,88.24,36.64,37.48,3.52,Loamy,62.91,Sprinkler,Kharif,Millet,16.94,82.89,42.37,42.05,1,6.872
Wheat,Wheat (Durum),Traditional,22.76,17.6,30.63,644.19,50.8,8.34,140,7.43,99.2,41.02,31.61,2.71,Loamy,66.99,Sprinkler,Rabi,Cotton,13.67,78.01,38.32,26.47,0,4.072
Millet,Millet (Foxtail),HYV,29.9,24.83,41.21,374.34,62.38,9.94,69,6.63,37.28,19.92,17.83,1.79,Red,47.88,Sprinkler,Kharif,Fallow,16.52,39.8,19.55,19.72,0,2.095
Soybean,Soybean (Food Grade),Hybrid,24.67,17.48,35.38,664.33,78.57,6.64,98,6.86,27.75,50.69,33.87,3.29,Red,53.81,Sprinkler,Kharif,Soybean,1.19,22.65,38.02,35.97,0,4.55
Maize,Maize (Popcorn),Hybrid,26.92,21.25,37.1,551.39,58.51,7.5,102,6.28,86.47,41.83,47.1,2.72,Loamy,64.02,Sprinkler,Rabi,Millet,19.62,61.79,44.04,37.7,0,4.852
Maize,Maize (Popcorn),Hybrid,22.5,17.24,31.84,535.53,59.98,6.51,98,6.64,94.71,43.56,49.25,3.81,Black,51.94,Drip,Kharif,Maize,17.82,105.92,55.17,53.55,0,5.85
Rice,Rice (Basmati),HYV,27.14,21.58,35.55,1133.76,77.79,6.7,145,6.19,71.67,37.35,33.22,2.1,Alluvial,63.18,Sprinkler,Kharif,Cotton,13.61,60.08,39.99,38.02,1,3.861
Soybean,Soybean (Food Grade),HYV,28.96,23.61,40.92,761.15,67.72,7.11,98,6.37,24.37,44.95,36.28,2.98,Laterite,69.41,Sprinkler,Kharif,Pulses,8.9,20.31,33.08,26.97,0,2.234
Rice,Rice (Basmati),Hybrid,29.47,22.83,40.56,1226.16,79.65,7.58,139,6.66,74.5,35.93,36.5,3.44,Loamy,75.39,Sprinkler,Kharif,Sugarcane,1.35,80.37,36.66,38.97,1,3.793
Rice,Rice (Non-Basmati),HYV,30.43,24.22,37.78,1483.75,71.43,8.77,118,6.04,110.22,51.49,40.97,3.22,Clayey,69.6,Flood,Kharif,Soybean,5.51,97.13,48.07,54.25,1,6.663
Wheat,Wheat (Durum),HYV,19.84,14.72,31.38,482.1,63.95,9.62,120,7.39,85.44,51.48,35.55,2.92,Black,62.94,Sprinkler,Rabi,Sugarcane,9.25,99.71,41.1,33.59,1,5.2
Millet,Millet (Foxtail),Traditional,28.7,22.46,39.44,471.95,60.39,8.65,83,5.67,39.23,20.78,16.86,1.37,Alluvial,52.47,Rainfed,Rabi,Soybean,16.03,25.69,14.48,10.32,1,1.023
Soybean,Soybean (Oil Grade),Hybrid,25.42,19.93,36.8,695.54,75.39,7.04,102,6.89,25.04,53.56,38.88,3.28,Alluvial,57.05,Rainfed,Kharif,Wheat,5.74,25.93,67.02,42.66,1,3.344
Soybean,Soybean (Food Grade),HYV,24.11,17.91,35.58,845.97,78.22,7.75,108,7.44,27.37,49.56,31.26,3.18,Clayey,67.3,Sprinkler,Kharif,Soybean,3.79,21.1,44.23,30.5,1,2.99
Wheat,Wheat (Sharbati),Traditional,17.23,12.13,25.09,595.48,51.29,9.22,123,7.33,98.67,49.04,33.97,2.58,Black,63.55,Rainfed,Rabi,Pulses,12.24,67.84,35.13,30.25,1,4.254
Millet,Millet (Finger/Ragi),Traditional,29.58,22.92,40.04,685.4,59.03,9.02,104,7.02,46.58,29.67,17.47,2.0,Alluvial,45.46,Flood,Kharif,Wheat,9.38,23.09,16.82,10.37,1,1.873
Rice,Rice (Basmati),HYV,28.47,22.0,38.03,1133.89,76.82,7.41,140,7.17,71.13,36.46,30.14,2.49,Clayey,84.62,Rainfed,Kharif,Sugarcane,17.57,70.81,38.5,34.8,1,3.646
Rice,Rice (Sona Masuri),HYV,30.36,23.84,38.56,1153.81,71.59,8.71,132,6.4,70.63,40.39,39.58,2.61,Black,68.24,Flood,Kharif,Soybean,5.34,79.86,43.28,38.74,1,4.68
Wheat,Wheat (Sharbati),HYV,18.34,11.63,27.25,484.4,50.83,9.07,128,6.7,88.69,44.68,33.76,2.48,Loamy,51.22,Drip,Rabi,Fallow,1.68,80.6,42.49,32.89,1,5.595
Millet,Millet (Sorghum/Jowar),Hybrid,28.29,22.23,37.89,661.34,60.13,7.24,98,7.37,66.16,30.29,30.98,2.16,Loamy,46.9,Rainfed,Zaid,Rice,0.57,85.47,42.48,36.06,1,2.639
Wheat,Wheat (Common),Traditional,21.51,14.89,30.18,555.34,51.41,8.69,130,6.27,81.25,49.02,30.48,2.79,Alluvial,46.75,Flood,Rabi,Millet,5.4,69.46,36.01,24.4,1,4.02
Rice,Rice (Basmati),Traditional,28.41,20.87,38.88,1466.05,80.76,8.29,140,6.86,77.89,34.75,39.45,2.64,Red,61.85,Flood,Kharif,Wheat,7.56,55.95,28.8,25.45,1,3.117
Wheat,Wheat (Common),Traditional,18.14,12.39,28.79,463.86,55.56,7.07,130,7.02,82.56,48.02,39.19,2.9,Black,68.99,Flood,Rabi,Rice,7.47,74.75,39.12,25.43,1,3.66
Wheat,Wheat (Common),HYV,18.02,10.99,25.97,424.8,68.61,7.49,114,7.01,84.58,48.88,34.81,2.29,Loamy,67.03,Sprinkler,Rabi,Fallow,17.09,99.82,47.48,38.04,1,5.241
Maize,Maize (Popcorn),Traditional,25.22,20.09,36.95,723.24,59.47,6.88,97,6.05,99.4,40.26,45.2,2.87,Loamy,55.56,Drip,Rabi,Fallow,19.6,57.13,27.35,32.65,0,5.612
Maize,Maize (Sweet Corn),Hybrid,23.1,17.31,33.22,684.08,68.32,8.3,89,6.13,103.15,54.02,45.63,4.84,Red,53.43,Drip,Kharif,Wheat,14.24,81.76,43.59,39.15,1,8.023
Maize,Maize (Feed Corn),Hybrid,24.55,19.02,36.0,678.56,70.91,6.73,113,5.85,128.54,71.4,54.99,2.17,Alluvial,74.13,Sprinkler,Kharif,Soybean,6.05,153.26,75.05,56.95,1,7.919
Soybean,Soybean (Food Grade),Traditional,27.45,21.01,35.57,653.96,60.31,8.22,97,7.43,22.31,56.79,37.84,3.52,Red,56.67,Rainfed,Kharif,Maize,1.16,17.58,34.53,24.23,1,2.861
Wheat,Wheat (Durum),HYV,19.65,12.96,27.57,562.68,63.09,7.4,136,6.41,98.06,56.82,37.63,2.54,Black,66.81,Flood,Kharif,Millet,4.97,77.36,48.32,30.54,1,4.185
Maize,Maize (Popcorn),Traditional,25.2,17.22,35.74,718.33,69.14,6.59,105,6.63,93.06,48.46,48.54,4.45,Alluvial,57.97,Drip,Rabi,Pulses,7.24,72.04,35.96,33.34,1,3.923
Rice,Rice (Basmati),Hybrid,29.96,24.47,40.42,1337.15,84.7,8.96,136,6.2,77.74,32.75,32.24,4.57,Alluvial,80.43,Flood,Kharif,Soybean,15.36,69.85,42.62,41.11,0,3.204
Rice,Rice (Sona Masuri),Traditional,30.05,23.93,40.56,1079.02,70.63,6.92,135,5.67,89.85,35.23,40.5,2.77,Alluvial,72.59,Flood,Kharif,Fallow,7.98,57.46,29.72,24.96,1,3.12
Wheat,Wheat (Durum),HYV,22.98,16.12,33.75,488.42,60.6,7.02,120,6.48,89.33,51.51,38.88,3.43,Sandy,52.5,Sprinkler,Rabi,Fallow,12.56,83.24,53.12,34.74,1,6.297
Millet,Millet (Foxtail),Hybrid,27.16,21.11,36.29,318.21,64.59,9.07,69,6.27,37.76,20.18,19.52,1.17,Loamy,45.57,Sprinkler,Rabi,Millet,10.98,43.22,23.61,19.07,1,1.261
Millet,Millet (Sorghum/Jowar),Hybrid,29.23,22.81,38.33,527.5,62.47,9.55,118,7.06,74.86,39.28,26.49,1.78,Loamy,55.16,Rainfed,Rabi,Maize,14.58,87.84,43.57,28.55,1,3.647
Wheat,Wheat (Common),Hybrid,21.26,14.31,28.56,465.13,61.13,7.52,112,7.19,93.88,43.3,33.31,2.37,Laterite,41.13,Sprinkler,Rabi,Wheat,19.31,106.86,46.46,33.3,1,6.912
Maize,Maize (Sweet Corn),Hybrid,24.45,16.47,32.35,555.84,74.65,7.97,80,6.85,105.72,59.84,41.75,4.1,Black,61.07,Rainfed,Kharif,Maize,11.61,126.9,62.69,65.51,1,7.719
Millet,Millet (Sorghum/Jowar),Hybrid,29.51,22.9,39.91,405.04,68.53,8.62,129,6.6,70.64,33.2,34.97,2.79,Loamy,60.91,Rainfed,Kharif,Pulses,16.12,84.36,39.4,37.75,1,1.751
Millet,Millet (Finger/Ragi),Hybrid,30.0,23.89,39.39,593.72,57.48,9.32,105,6.67,48.37,20.74,21.84,1.52,Loamy,52.73,Sprinkler,Zaid,Millet,18.6,43.81,32.76,23.0,0,1.961
Rice,Rice (Sona Masuri),Hybrid,29.38,23.25,39.28,1206.08,77.87,8.49,134,6.31,73.08,43.11,35.69,2.24,Alluvial,68.56,Flood,Kharif,Rice,15.19,85.63,43.72,43.14,1,6.876
Wheat,Wheat (Common),Traditional,20.11,13.18,29.1,596.88,52.65,9.22,117,7.32,94.35,45.62,39.38,3.78,Black,41.57,Flood,Rabi,Pulses,13.43,79.56,34.81,26.42,1,3.804
Wheat,Wheat (Sharbati),HYV,19.34,14.3,27.0,552.63,56.29,9.23,135,7.05,96.8,45.43,39.18,3.48,Loamy,41.8,Drip,Rabi,Sugarcane,0.99,96.2,49.52,38.97,0,3.849
Maize,Maize (Sweet Corn),HYV,26.78,19.26,35.6,790.66,69.62,6.46,96,6.08,111.51,58.42,45.17,4.32,Clayey,65.73,Sprinkler,Rabi,Maize,1.2,116.33,52.88,49.27,1,7.41
Rice,Rice (Basmati),Hybrid,28.52,21.11,36.72,1020.91,79.36,7.69,141,7.48,78.76,38.62,38.89,3.4,Alluvial,76.44,Sprinkler,Kharif,Pulses,18.81,81.17,40.47,35.78,1,5.733
Maize,Maize (Popcorn),Hybrid,22.72,15.28,33.44,643.48,66.62,6.42,100,6.57,85.69,53.81,46.79,2.6,Loamy,52.95,Drip,Rabi,Maize,9.52,107.7,55.4,51.72,1,6.025
Millet,Millet (Pearl/Bajra),Hybrid,31.9,23.91,41.49,358.73,52.28,10.45,66,6.19,55.24,23.61,28.09,2.36,Black,51.96,Sprinkler,Kharif,Pulses,6.31,46.51,25.71,28.71,1,1.584
Maize,Maize (Feed Corn),Hybrid,23.3,16.82,31.09,576.9,61.78,8.11,99,5.69,148.84,69.04,60.71,4.29,Alluvial,61.22,Sprinkler,Kharif,Soybean,8.37,160.04,84.13,63.69,1,11.7
Maize,Maize (Sweet Corn),HYV,23.99,16.95,34.2,602.79,74.54,7.04,92,6.19,109.16,51.88,51.3,2.72,Loamy,69.36,Drip,Rabi,Millet,7.61,110.97,55.84,44.25,1,9.494
Wheat,Wheat (Common),Traditional,18.28,11.63,25.66,522.98,63.44,9.91,121,6.27,80.77,41.0,37.86,3.75,Loamy,48.05,Sprinkler,Rabi,Millet,9.09,47.1,23.91,19.93,1,5.975
Millet,Millet (Finger/Ragi),Hybrid,29.67,22.42,38.89,550.76,62.7,8.85,125,6.05,38.06,27.02,16.86,3.5,Black,53.69,Sprinkler,Kharif,Maize,14.54,45.11,29.67,18.62,0,3.329
Millet,Millet (Foxtail),Traditional,28.81,22.02,38.88,361.34,51.73,7.29,70,6.43,37.89,21.62,18.73,2.94,Black,54.47,Sprinkler,Kharif,Fallow,5.62,25.85,16.09,14.54,1,1.586
Millet,Millet (Finger/Ragi),HYV,25.15,18.72,33.44,566.55,55.4,8.49,125,5.35,48.58,29.08,17.98,2.3,Loamy,49.63,Rainfed,Kharif,Wheat,14.78,42.84,23.72,23.17,0,2.255
Millet,Millet (Finger/Ragi),Traditional,30.08,24.77,40.79,669.29,51.12,8.23,120,6.69,38.91,28.72,17.31,2.29,Loamy,40.03,Rainfed,Kharif,Wheat,9.02,30.99,20.01,19.7,1,2.519
Millet,Millet (Sorghum/Jowar),HYV,27.67,21.02,36.25,628.29,56.73,9.39,111,6.17,74.5,34.84,32.8,2.14,Loamy,64.45,Rainfed,Kharif,Maize,18.14,68.81,32.26,30.8,0,3.55
Soybean,Soybean (Food Grade),HYV,28.33,20.55,35.88,872.88,66.05,8.88,94,7.36,25.73,58.33,38.44,2.83,Red,51.28,Rainfed,Kharif,Rice,11.27,28.86,52.5,36.51,1,1.715
Millet,Millet (Pearl/Bajra),Traditional,33.18,26.11,43.34,508.79,46.39,10.78,70,7.42,49.09,29.31,22.09,2.91,Desert,31.86,Sprinkler,Kharif,Soybean,15.29,36.1,20.13,14.14,1,1.073
Maize,Maize (Feed Corn),Traditional,28.72,23.5,35.91,722.6,74.73,6.65,100,6.91,138.27,79.04,57.67,3.33,Alluvial,61.15,Flood,Kharif,Soybean,3.57,119.8,49.74,47.22,1,5.706
Wheat,Wheat (Common),Traditional,20.69,13.0,29.33,595.5,58.03,8.26,124,6.43,94.92,47.74,39.08,1.87,Alluvial,44.07,Sprinkler,Rabi,Sugarcane,12.63,65.69,36.74,29.24,1,5.765
Millet,Millet (Foxtail),Hybrid,28.99,23.08,40.08,536.69,48.53,9.35,70,5.73,33.04,17.04,16.99,2.36,Black,35.79,Rainfed,Zaid,Fallow,13.51,42.52,25.12,19.6,1,1.306
Maize,Maize (Sweet Corn),Hybrid,26.09,19.58,35.06,651.17,60.73,8.39,88,6.61,108.9,68.21,57.35,2.44,Black,69.62,Sprinkler,Kharif,Wheat,4.2,102.45,51.43,45.96,1,6.345
Wheat,Wheat (Durum),Traditional,20.2,14.34,29.69,482.18,54.94,9.14,138,6.39,95.15,46.85,30.51,2.36,Loamy,60.96,Rainfed,Rabi,Sugarcane,3.03,74.84,35.79,26.59,1,3.695
Rice,Rice (Basmati),Traditional,27.22,20.19,36.77,1430.72,82.99,6.03,131,6.69,79.78,34.83,39.87,4.26,Loamy,66.22,Sprinkler,Kharif,Soybean,10.93,63.26,24.98,24.15,0,3.355
Millet,Millet (Finger/Ragi),HYV,31.33,23.48,42.69,485.35,62.23,9.29,125,6.23,43.09,25.59,21.69,3.46,Alluvial,46.53,Sprinkler,Rabi,Maize,13.96,38.24,25.6,15.55,1,3.997
Millet,Millet (Foxtail),Hybrid,30.98,23.22,38.74,309.13,46.71,7.87,68,6.15,39.84,15.86,18.36,1.92,Red,42.74,Drip,Kharif,Cotton,17.45,40.68,16.71,18.58,1,1.689
